               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.027718,            0.015803,           0.0010151,             0.98038,             0.99089,              0.9883,             0.71856,            0.022245,           0.0091658,          0.00079418,            0.009439,            0.009439,            0.009439
                  36,            0.027312,             0.01536,          0.00095841,             0.98051,             0.99504,             0.98947,             0.72029,            0.022383,           0.0091836,          0.00075745,           0.0094225,           0.0094225,           0.0094225
                  37,            0.027696,            0.015441,          0.00093332,             0.98069,             0.99504,             0.98637,             0.71923,            0.021734,           0.0090951,          0.00073549,            0.009406,            0.009406,            0.009406
                  38,            0.028459,            0.015479,          0.00085083,             0.98085,             0.99504,             0.98548,             0.69288,             0.02362,           0.0091531,          0.00065436,           0.0093895,           0.0093895,           0.0093895
                  39,            0.028932,            0.016104,          0.00088061,             0.97899,             0.99249,             0.98427,             0.71245,            0.022611,           0.0092634,          0.00080036,            0.009373,            0.009373,            0.009373
                  40,            0.026601,            0.014654,          0.00097482,             0.98021,             0.99504,             0.99023,             0.69774,            0.024226,           0.0093883,          0.00075103,           0.0093565,           0.0093565,           0.0093565
                  41,            0.026833,            0.015432,          0.00087179,             0.97872,             0.99504,             0.99245,             0.72827,            0.022337,           0.0091998,          0.00066377,             0.00934,             0.00934,             0.00934
                  42,            0.025855,            0.015201,          0.00081797,             0.97809,             0.99793,             0.98894,             0.72016,            0.022851,           0.0092285,          0.00067581,           0.0093235,           0.0093235,           0.0093235
                  43,            0.026089,            0.013876,          0.00073331,             0.98019,              0.9899,             0.98695,             0.70691,            0.022785,           0.0091713,          0.00067268,            0.009307,            0.009307,            0.009307
                  44,            0.026692,            0.015292,          0.00071478,             0.97868,             0.98419,              0.9894,             0.68867,            0.024522,           0.0092352,          0.00065649,           0.0092905,           0.0092905,           0.0092905
                  45,            0.026787,            0.014809,           0.0007945,             0.97399,             0.99793,             0.98464,             0.71635,            0.022508,           0.0090997,          0.00064768,            0.009274,            0.009274,            0.009274
                  46,            0.026609,            0.015381,          0.00071798,             0.97278,             0.99793,             0.98856,             0.72912,            0.022908,           0.0090967,          0.00062925,           0.0092575,           0.0092575,           0.0092575
                  47,            0.026339,            0.015735,          0.00079525,             0.97913,             0.99041,             0.99039,             0.74499,            0.021761,           0.0090059,          0.00064427,            0.009241,            0.009241,            0.009241
                  48,            0.025984,            0.014496,          0.00084073,             0.97804,             0.99378,             0.99129,             0.73786,            0.022256,           0.0090742,           0.0006828,           0.0092245,           0.0092245,           0.0092245
                  49,            0.025705,             0.01446,          0.00084285,             0.97475,             0.99504,             0.99254,             0.73148,            0.021829,           0.0091561,          0.00068036,            0.009208,            0.009208,            0.009208
                  50,            0.027275,            0.014983,          0.00076372,             0.98046,             0.98715,             0.99133,             0.72676,            0.023191,           0.0092209,           0.0006705,           0.0091915,           0.0091915,           0.0091915
                  51,            0.025609,            0.013838,           0.0007187,             0.98013,             0.99233,             0.98962,             0.72822,            0.023447,           0.0091069,          0.00058337,            0.009175,            0.009175,            0.009175
                  52,             0.02519,            0.014106,            0.000872,             0.98028,             0.99039,              0.9879,             0.71507,            0.022531,           0.0091644,          0.00069729,           0.0091585,           0.0091585,           0.0091585
                  53,            0.025166,            0.015396,          0.00097645,             0.97996,             0.99504,             0.98759,             0.72558,            0.021456,           0.0089648,          0.00066483,            0.009142,            0.009142,            0.009142
                  54,            0.024923,             0.01462,          0.00088026,             0.97998,             0.99284,             0.99004,             0.72909,            0.022303,           0.0091152,          0.00056073,           0.0091255,           0.0091255,           0.0091255
                  55,            0.025584,            0.014916,          0.00070342,             0.98163,             0.99299,             0.99154,              0.7231,            0.021522,           0.0089864,          0.00050082,            0.009109,            0.009109,            0.009109
                  56,            0.024692,            0.014424,          0.00066875,             0.97697,             0.99504,              0.9902,             0.73093,            0.021423,           0.0088777,          0.00057469,           0.0090925,           0.0090925,           0.0090925
                  57,            0.024067,            0.014145,          0.00075205,             0.97966,             0.99504,             0.99159,             0.73361,            0.021763,           0.0090096,          0.00056823,            0.009076,            0.009076,            0.009076
                  58,             0.02452,             0.01468,          0.00076357,             0.97776,             0.99504,             0.99232,             0.70459,            0.023536,            0.009182,          0.00056779,           0.0090595,           0.0090595,           0.0090595
                  59,            0.024493,            0.014618,          0.00074898,             0.97849,             0.99504,             0.99326,             0.73637,            0.021647,           0.0090892,          0.00059985,            0.009043,            0.009043,            0.009043
                  60,            0.024366,            0.013921,          0.00080512,             0.97832,             0.99437,             0.99227,             0.73539,            0.021712,           0.0091962,          0.00065318,           0.0090265,           0.0090265,           0.0090265
                  61,            0.024931,            0.014209,          0.00084484,             0.98269,             0.99362,             0.98999,             0.71255,            0.023612,           0.0091482,          0.00075259,             0.00901,             0.00901,             0.00901
                  62,            0.025066,            0.015083,          0.00074974,              0.9799,             0.99504,             0.99162,             0.72489,            0.022959,           0.0091136,          0.00058643,           0.0089935,           0.0089935,           0.0089935
                  63,            0.024601,            0.014149,          0.00071007,             0.98035,             0.99504,              0.9899,             0.73705,            0.022209,           0.0090412,          0.00056492,            0.008977,            0.008977,            0.008977
                  64,            0.025665,            0.015337,          0.00083927,             0.97358,             0.99491,             0.98722,             0.72016,            0.021766,           0.0089612,          0.00051603,           0.0089605,           0.0089605,           0.0089605
                  65,            0.024484,            0.014265,          0.00059497,             0.97992,             0.99296,             0.98986,             0.74016,            0.021839,           0.0088402,          0.00049006,            0.008944,            0.008944,            0.008944
                  66,            0.024257,            0.014763,          0.00063214,             0.98058,             0.99296,             0.99145,             0.74063,             0.02244,           0.0090508,          0.00050323,           0.0089275,           0.0089275,           0.0089275
                  67,            0.023038,            0.014723,          0.00063097,             0.98026,             0.99296,             0.98607,             0.74016,            0.020989,           0.0089731,          0.00048778,            0.008911,            0.008911,            0.008911
                  68,            0.024326,            0.013681,          0.00065128,             0.98132,             0.99421,             0.98955,             0.73431,             0.02219,           0.0090049,          0.00049037,           0.0088945,           0.0088945,           0.0088945
                  69,            0.023311,            0.014696,          0.00082189,             0.97797,             0.99504,             0.99143,             0.72339,            0.022174,           0.0090252,           0.0004918,            0.008878,            0.008878,            0.008878
                  70,            0.024227,            0.014882,          0.00065822,             0.97586,             0.99274,              0.9924,             0.72054,            0.022472,           0.0090448,          0.00046632,           0.0088615,           0.0088615,           0.0088615
                  71,            0.024768,            0.014271,          0.00062639,             0.98102,             0.99018,             0.98893,             0.71207,            0.021922,           0.0090164,          0.00055184,            0.008845,            0.008845,            0.008845
                  72,            0.024801,             0.01529,          0.00071844,             0.98273,              0.9903,             0.99151,             0.74197,            0.021363,           0.0089518,          0.00056093,           0.0088285,           0.0088285,           0.0088285
                  73,            0.025572,            0.015374,          0.00068436,             0.98402,             0.98889,             0.99191,             0.73811,            0.022046,           0.0088212,          0.00050431,            0.008812,            0.008812,            0.008812
                  74,            0.024298,            0.014744,          0.00060528,             0.98249,             0.99526,             0.98977,             0.73774,            0.021769,           0.0090127,          0.00045005,           0.0087955,           0.0087955,           0.0087955
                  75,            0.024067,             0.01524,          0.00054467,              0.9799,             0.99504,             0.98976,             0.73671,            0.020295,           0.0089635,          0.00048648,            0.008779,            0.008779,            0.008779
                  76,            0.025375,            0.014794,          0.00074337,             0.98076,             0.99226,             0.99039,             0.74173,            0.021506,           0.0089966,          0.00048854,           0.0087625,           0.0087625,           0.0087625
                  77,            0.023827,            0.014012,           0.0006177,             0.97987,             0.99288,             0.99205,             0.73339,            0.021853,            0.008935,          0.00046896,            0.008746,            0.008746,            0.008746
                  78,            0.023092,             0.01391,          0.00053785,             0.98008,             0.99437,             0.99245,             0.74293,             0.02168,           0.0088674,          0.00048413,           0.0087295,           0.0087295,           0.0087295
                  79,            0.023632,            0.014283,          0.00058467,             0.97608,             0.99296,             0.99189,             0.72489,            0.022136,           0.0088702,          0.00046828,            0.008713,            0.008713,            0.008713
                  80,            0.024142,            0.014146,          0.00054187,             0.98024,             0.99391,             0.99272,             0.71975,              0.0224,           0.0088169,          0.00045313,           0.0086965,           0.0086965,           0.0086965
                  81,            0.023881,            0.014866,          0.00064812,             0.97999,             0.99053,             0.99222,              0.7248,            0.021827,           0.0088588,          0.00044702,             0.00868,             0.00868,             0.00868
                  82,            0.024475,            0.014751,           0.0005944,             0.98084,             0.99179,             0.99258,             0.72185,            0.021923,           0.0088244,          0.00045297,           0.0086635,           0.0086635,           0.0086635
                  83,            0.024069,            0.014744,          0.00057679,             0.97933,             0.99793,             0.99154,             0.72522,             0.02168,           0.0089877,          0.00045171,            0.008647,            0.008647,            0.008647
                  84,            0.024258,            0.014544,          0.00058768,             0.97883,             0.99793,              0.9921,             0.73316,            0.022611,           0.0090865,          0.00048688,           0.0086305,           0.0086305,           0.0086305
                  85,             0.02278,            0.014468,          0.00069375,              0.9784,             0.99793,             0.98468,             0.72526,            0.021095,           0.0088861,          0.00056479,            0.008614,            0.008614,            0.008614
                  86,            0.022704,            0.014369,          0.00053926,             0.97559,             0.99504,             0.98373,             0.71526,            0.020879,           0.0089484,           0.0005103,           0.0085975,           0.0085975,           0.0085975
                  87,             0.02238,            0.014288,          0.00054334,             0.98126,             0.99504,             0.98981,             0.73829,            0.020982,           0.0089945,          0.00042898,            0.008581,            0.008581,            0.008581
                  88,            0.023165,            0.014214,          0.00042797,             0.98087,             0.99504,             0.99218,             0.75369,            0.021811,           0.0089863,          0.00041345,           0.0085645,           0.0085645,           0.0085645
